Time,Latitude,Longitude
2021-11-23 18:59:40,-34.55289160,-58.43945730
2021-11-23 19:01:56,-34.55815490,-58.44530680
2021-11-23 19:02:18,-34.55725820,-58.44378260
2021-11-23 19:04:19,-34.55788150,-58.44479380
2021-11-23 19:06:26,-34.55811900,-58.44523120
2021-11-23 19:07:29,-34.55864840,-58.44597580
2021-11-23 19:10:09,-34.56618820,-58.43249230
2021-11-23 19:11:39,-34.56987200,-58.43231400
2021-11-23 19:14:34,-34.57016700,-58.43241370
2021-11-23 19:17:08,-34.57016700,-58.43241370
2021-11-23 19:20:09,-34.57071430,-58.43179210
2021-11-23 19:24:14,-34.57072440,-58.43178220
2021-11-23 19:27:25,-34.57060840,-58.43209990
2021-11-23 19:32:54,-34.57016700,-58.43241370
2021-11-23 20:59:56,-34.57067850,-58.43184360
2021-11-23 21:02:02,-34.57016700,-58.43241370
2021-11-23 21:30:12,-34.57016700,-58.43241370
2021-11-23 21:37:30,-34.57016700,-58.43241370
2021-11-23 21:58:46,-34.57058220,-58.43229660
2021-11-23 22:51:30,-34.57058680,-58.43215020
2021-11-23 22:55:05,-34.57016700,-58.43241370
2021-11-23 22:58:22,-34.57016700,-58.43241370
2021-11-23 23:01:18,-34.57059050,-58.43218000
2021-11-23 23:08:51,-34.57058390,-58.43219750
2021-11-23 23:14:46,-34.57058140,-58.43226630
2021-11-23 23:20:59,-34.57016700,-58.43241370
2021-11-23 23:32:41,-34.57016700,-58.43241370
2021-11-23 23:45:24,-34.57016700,-58.43241370
2021-11-23 23:48:58,-34.57016700,-58.43241370
2021-11-23 23:51:56,-34.57016700,-58.43241370
2021-11-23 23:55:26,-34.57056820,-58.43220820
2021-11-24 00:01:33,-34.57059670,-58.43227220
2021-11-24 00:12:36,-34.57016700,-58.43241370
2021-11-24 00:16:29,-34.57016700,-58.43241370
2021-11-24 00:19:14,-34.57058340,-58.43230130
2021-11-24 00:22:52,-34.57016700,-58.43241370
2021-11-24 00:25:41,-34.57016700,-58.43241370
2021-11-24 00:27:41,-34.57016700,-58.43241370
2021-11-24 00:33:18,-34.57016700,-58.43241370
2021-11-24 00:44:39,-34.57016700,-58.43241370
2021-11-24 00:54:34,-34.57059480,-58.43228650
2021-11-24 01:00:09,-34.57016700,-58.43241370
2021-11-24 01:46:07,-34.57016700,-58.43241370
2021-11-24 02:18:22,-34.57016700,-58.43241370
2021-11-24 02:23:18,-34.57066020,-58.43190670
2021-11-24 02:25:19,-34.57016700,-58.43241370
2021-11-24 02:27:23,-34.57039440,-58.43180940
2021-11-24 02:29:48,-34.57062490,-58.43298630
2021-11-24 02:31:48,-34.57144370,-58.43255820
2021-11-24 02:33:04,-34.57146900,-58.43216770
2021-11-24 02:36:37,-34.57056170,-58.43231380
2021-11-24 02:38:29,-34.57216110,-58.43321090
2021-11-24 02:39:24,-34.57184190,-58.43288900
2021-11-24 02:40:29,-34.57149020,-58.43239560
2021-11-24 02:40:52,-34.57135330,-58.43224890
2021-11-24 02:40:58,-34.57119040,-58.43214380
2021-11-24 02:44:11,-34.57008210,-58.43102810
2021-11-24 02:46:10,-34.57053310,-58.43146240
2021-11-24 02:48:43,-34.57070540,-58.43190770
2021-11-24 03:33:11,-34.57059010,-58.43216500
2021-11-24 03:36:23,-34.57016700,-58.43241370
2021-11-24 06:53:31,-34.57016700,-58.43241370
2021-11-24 07:11:31,-34.57016700,-58.43241370
2021-11-24 07:25:47,-34.57016700,-58.43241370
2021-11-24 08:33:15,-34.57016700,-58.43241370
